Date,Value
01-07-2000,94.8622
01-08-2000,98.1841
01-09-2000,89.5925
01-10-2000,82.1321
01-11-2000,86.9273
01-12-2000,101.1556
01-01-2001,107.7077
01-02-2001,95.94
01-03-2001,91.666
01-04-2001,81.891
01-05-2001,81.5458
01-06-2001,89.3101
01-07-2001,94.8889
01-08-2001,98.3217
01-09-2001,87.191
01-10-2001,81.6619
01-11-2001,81.9037
01-12-2001,91.8858
01-01-2002,101.7175
01-02-2002,94.0329
01-03-2002,92.1127
01-04-2002,84.7659
01-05-2002,84.2267
01-06-2002,92.0888
01-07-2002,101.1591
01-08-2002,100.3893
01-09-2002,92.1628
01-10-2002,85.8274
01-11-2002,87.4777
01-12-2002,99.534
01-01-2003,108.7791
01-02-2003,102.5276
01-03-2003,93.3849
01-04-2003,84.0376
01-05-2003,84.4607
01-06-2003,90.0042
01-07-2003,100.9924
01-08-2003,103.206
01-09-2003,91.7917
01-10-2003,85.4571
01-11-2003,87.5007
01-12-2003,102.2649
01-01-2004,112.2926
01-02-2004,104.8474
01-03-2004,94.2332
01-04-2004,85.6852
01-05-2004,87.9893
01-06-2004,94.3788
01-07-2004,100.5751
01-08-2004,98.9975
01-09-2004,92.8908
01-10-2004,86.4617
01-11-2004,88.4874
01-12-2004,104.3951
01-01-2005,109.7843
01-02-2005,100.4265
01-03-2005,97.7496
01-04-2005,85.3841
01-05-2005,86.0728
01-06-2005,98.2479
01-07-2005,107.1747
01-08-2005,108.3466
01-09-2005,98.0687
01-10-2005,88.8222
01-11-2005,89.2755
01-12-2005,106.8766
01-01-2006,103.2467
01-02-2006,100.1125
01-03-2006,97.2186
01-04-2006,86.3931
01-05-2006,88.8905
01-06-2006,99.2777
01-07-2006,109.7055
01-08-2006,110.3164
01-09-2006,94.6849
01-10-2006,89.3318
01-11-2006,91.2085
01-12-2006,101.821
01-01-2007,110.7058
01-02-2007,110.454
01-03-2007,97.9823
01-04-2007,89.6843
01-05-2007,90.9207
01-06-2007,99.7503
01-07-2007,106.3227
01-08-2007,112.7922
01-09-2007,100.3374
01-10-2007,91.8884
01-11-2007,92.7412
01-12-2007,105.442
01-01-2008,113.4467
01-02-2008,106.8984
01-03-2008,99.2054
01-04-2008,89.8473
01-05-2008,90.0774
01-06-2008,102.6195
01-07-2008,109.4204
01-08-2008,106.2819
01-09-2008,96.5447
01-10-2008,89.8755
01-11-2008,92.6256
01-12-2008,108.0176
01-01-2009,115.3515
01-02-2009,103.092
01-03-2009,96.5375
01-04-2009,86.9999
01-05-2009,86.4167
01-06-2009,96.0944
01-07-2009,102.6101
01-08-2009,104.4211
01-09-2009,93.6745
01-10-2009,88.0479
01-11-2009,88.1245
01-12-2009,109.2273
01-01-2010,117.4737
01-02-2010,109.106
01-03-2010,96.8805
01-04-2010,84.9776
01-05-2010,89.4931
01-06-2010,102.9199
01-07-2010,111.4497
01-08-2010,111.5623
01-09-2010,98.8352
01-10-2010,87.7291
01-11-2010,91.4364
01-12-2010,112.8056
01-01-2011,117.9343
01-02-2011,105.867
01-03-2011,97.6831
01-04-2011,88.0082
01-05-2011,88.7352
01-06-2011,101.3837
01-07-2011,113.2128
01-08-2011,112.0655
01-09-2011,98.0976
01-10-2011,88.9858
01-11-2011,92.3775
01-12-2011,105.7794
01-01-2012,110.2292
01-02-2012,101.8597
01-03-2012,92.0263
01-04-2012,86.151
01-05-2012,91.3542
01-06-2012,99.6795
01-07-2012,111.6088
01-08-2012,108.4356
01-09-2012,95.393
01-10-2012,88.8972
01-11-2012,92.8549
01-12-2012,103.5323
01-01-2013,113.6169
01-02-2013,104.9588
01-03-2013,101.2068
01-04-2013,89.2832
01-05-2013,89.3331
01-06-2013,99.1089
01-07-2013,108.6244
01-08-2013,106.7201
01-09-2013,97.7893
01-10-2013,90.2661
01-11-2013,95.5682
01-12-2013,111.7132
01-01-2014,122.2478
01-02-2014,111.0635
01-03-2014,102.9009
01-04-2014,88.4617
01-05-2014,90.4627
01-06-2014,100.077
01-07-2014,106.9483
01-08-2014,106.7093
01-09-2014,98.875
01-10-2014,90.7419
01-11-2014,97.6889
01-12-2014,107.4269
01-01-2015,118.2529
01-02-2015,114.5312
01-03-2015,102.5268
01-04-2015,87.8375
01-05-2015,89.3232
01-06-2015,101.3074
01-07-2015,110.2382
01-08-2015,109.0314
01-09-2015,100.2091
01-10-2015,89.5857
01-11-2015,90.8253
01-12-2015,100.7941
01-01-2016,115.1679
01-02-2016,104.3868
01-03-2016,92.8194
01-04-2016,86.8332
01-05-2016,88.1173
01-06-2016,101.858
01-07-2016,112.473
01-08-2016,113.7736
01-09-2016,100.7214
01-10-2016,89.5034
01-11-2016,91.2201
01-12-2016,112.2975
01-01-2017,114.8134
01-02-2017,98.2094
01-03-2017,99.6332
01-04-2017,85.9072
01-05-2017,89.2037
01-06-2017,99.1942
01-07-2017,109.8524
01-08-2017,106.3908
01-09-2017,95.8099
01-10-2017,90.8123
01-11-2017,95.7453
01-12-2017,114.4282
01-01-2018,126.3772
